Date,Mileage,Gallons,Price,Notes
5/20/2014,96403,,,Bought
5/25/2014,96465,4.302,14.65,First fill-up
6/8/2014,96836,10.346,35.58,
6/21/2014,97240,6.946,25,
6/22/2014,97308,6.06,21.69,
7/18/2014,97645,2.734,10,
7/19/2014,97760,,20,Tire patch
7/20/2014,97776,10.939,36.09,
8/2/2014,98176,10.736,34.88,
8/3/2014,98240,1.784,5.78,
8/14/2014,98646,11.158,37.26,
8/20/2014,99019,,116.94,Heat shield
8/20/2014,99022,11.082,37.67,
10/4/2014,99400,10.784,32.65,est
11/1/2014,99640,8.096,23.72,est
11/16/2014,99895,7.911,21.09,
11/22/2014,100097,,32.23,Oil change
12/6/2014,100182,9.874,24.68,
12/28/2014,100475,9.99,21.77,
1/3/2015,100677,6.749,13.22,
1/10/2015,100865,6.898,13.1,
1/17/2015,101115,7.929,16.33,
2/4/2015,101450,,500,Bumper
2/4/2015,101454,10.779,24.78,
2/20/2015,101770,10.019,22.03,
3/14/2015,102068,10.306,24.31,
3/21/2015,102372,8.882,19.61,
4/24/2015,102707,10.32,24.55,
5/17/2015,103038,9.833,25.56,
6/7/2015,103293,7.905,20.07,
6/13/2015,103595,3.707,10.01,
6/14/2015,103768,9.843,26.57,
7/2/2015,104100,10.286,26.73,est
7/18/2015,104460,9.721,25.85,
7/18/2015,104820,2.555,7,
7/19/2015,104962,10.815,29.5,
8/1/2015,105219,,35.47,Oil change
8/2/2015,105323,10.707,27.61,
8/28/2015,105567,8.082,18.66,
9/5/2015,?,5.659,12.61,unk
9/14/2015,106012,6.759,14.25,
9/20/2015,106210,5.852,12.46,
10/3/2015,106273,2.166,5.09,
10/22/2015,106429,5.593,12.58,
10/30/2015,106508,2.842,6.14,
11/7/2015,106723,6.692,14.45,
11/14/2015,106856,4.129,8.32,
11/15/2015,106984,3.797,7.59,
11/25/2015,107037,2.212,4.29,
11/29/2015,107259,6.302,11.97,
12/14/2015,107485,8.217,15.11,
12/27/2015,107690,7.778,13.43,
1/3/2016,107883,6.961,12.38,
1/24/2016,108070,8.773,14.64,
2/6/2016,108163,4.165,6.24,
2/16/2016,108411,7.963,11.3,
2/27/2016,108688,,310.8,Tail pipe
2/28/2016,108701,10.105,16.98,
3/12/2016,108979,8.873,17.11,
3/26/2016,109224,8.604,16.34,
4/8/2016,109607,11.102,19.97,
4/23/2016,109924,9.952,18.8,
5/8/2016,110267,10.637,21.9,
5/21/2016,110422,5.299,11.69,
5/27/2016,110676,7.199,15.69,
,,,,Oil Change
6/13/2016,111046,11.298,25.41,
6/29/2016,111431,11.034,23.49,
7/3/2016,111626,5.508,11.51,
7/23/2016,111905,9.306,18.88,
7/28/2016,112133,6.504,13,
8/20/2016,112481,11.455,24.39,
9/1/2016,112872,11.358,25.54,
9/9/2016,113188,8.724,18.22,
9/11/2016,113597,11.187,23.05,
9/24/2016,113737,4.484,9.32,
10/19/2016,114074,10.915,22.36,
11/5/2016,,,16.15,unk
11/10/2016,114478,4.169,7.92,
11/24/2016,114797,10.037,18.86,
12/3/2016,115127,10.521,21.66,
12/20/2016,115320,,500,Bumper
12/23/2016,115339,9.477,20.37,
12/27/2016,115518,5.376,11.47,
12/27/2016,115522,,42.43,Oil change
1/15/2017,?,?,?,unknown fill-up
2/4/2017,116094,9.377,20.81,
2/18/2017,116419,10.742,24.16,
2/26/2017,116740,10.374,22.81,
